image_id,file_path,asset_id,asset_type,component,defect_types,primary_defect_type,severity_label,location_on_asset,annotation_count,has_annotations,coco_image_id,width,height,notes
REAL-BRIDGE-IMG-0000,data/bridge_image/104_7e3b62de-9e57-40a4-bdc9-f32224927ba1_jpg.rf.6yyVfdfGxAPBCYAqoi9b.jpg,BR-REAL-IMAGE,bridge,bridge_surface,exposed_rebar,exposed_rebar,high,visible bridge surface,1,true,0,2560,1440,Real annotated bridge image converted from COCO annotations.
REAL-BRIDGE-IMG-0001,data/bridge_image/3865.rf.0AnLmQvJuveBm1hppIUW.jpg,BR-REAL-IMAGE,bridge,bridge_surface,crack,crack,moderate,visible bridge surface,1,true,1,416,416,Real annotated bridge image converted from COCO annotations.
REAL-BRIDGE-IMG-0002,data/bridge_image/Image_-331-_jpg.rf.55Tzki8nOuffS7zzBcgY.jpg,BR-REAL-IMAGE,bridge,bridge_surface,corrosion,corrosion,moderate,visible bridge surface,1,true,2,768,768,Real annotated bridge image converted from COCO annotations.
REAL-BRIDGE-IMG-0003,data/bridge_image/2234.rf.0slT253lyFV406Mir13R.jpg,BR-REAL-IMAGE,bridge,bridge_surface,crack,crack,moderate,visible bridge surface,2,true,3,416,416,Real annotated bridge image converted from COCO annotations.
REAL-BRIDGE-IMG-0004,data/bridge_image/104_1767148c-72eb-4e79-bbe7-6b930dc8693c_jpg.rf.21CZMjldo8TWvhWIBRmV.jpg,BR-REAL-IMAGE,bridge,bridge_surface,exposed_rebar,exposed_rebar,high,visible bridge surface,1,true,4,2560,1440,Real annotated bridge image converted from COCO annotations.
REAL-BRIDGE-IMG-0005,data/bridge_image/3393.rf.0QjDVOnRyPW1nMcHGDyz.jpg,BR-REAL-IMAGE,bridge,bridge_surface,crack,crack,moderate,visible bridge surface,6,true,5,416,416,Real annotated bridge image converted from COCO annotations.
REAL-BRIDGE-IMG-0006,data/bridge_image/104_9cdfaf98-a399-4f47-8680-bacc6b9fb2f4_jpg.rf.EAEM1ZG1PaeQBwrn44js.jpg,BR-REAL-IMAGE,bridge,bridge_surface,exposed_rebar,exposed_rebar,high,visible bridge surface,1,true,6,2560,1440,Real annotated bridge image converted from COCO annotations.
REAL-BRIDGE-IMG-0007,data/bridge_image/103_108c550f-5db7-49cb-a4b3-6e066dea33be_jpg.rf.7v3cgFrXRn15l6osc231.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,leak,moderate,visible bridge surface,5,true,7,2560,1440,Real annotated bridge image converted from COCO annotations.
REAL-BRIDGE-IMG-0008,data/bridge_image/Image_mine-29-_jpg.rf.zN8Dnca2zd35FKoJJz49.jpg,BR-REAL-IMAGE,bridge,bridge_surface,corrosion,corrosion,moderate,visible bridge surface,5,true,8,4032,3024,Real annotated bridge image converted from COCO annotations.
REAL-BRIDGE-IMG-0009,data/bridge_image/Image_-616-_jpg.rf.WiBkQI446sqW2trO5UdX.jpg,BR-REAL-IMAGE,bridge,bridge_surface,spalling,spalling,high,visible bridge surface,2,true,9,1569,1010,Real annotated bridge image converted from COCO annotations.
REAL-BRIDGE-IMG-0010,data/bridge_image/Image_-669-_jpg.rf.UbotQj3X0XwJe9923nu2.jpg,BR-REAL-IMAGE,bridge,bridge_surface,spalling,spalling,high,visible bridge surface,2,true,10,400,400,Real annotated bridge image converted from COCO annotations.
REAL-BRIDGE-IMG-0011,data/bridge_image/104_9e50b6b6-6a1a-465e-877a-d6a7fc4e60fe_jpg.rf.VQVaCOA7FkFMF1wBgTSI.jpg,BR-REAL-IMAGE,bridge,bridge_surface,exposed_rebar,exposed_rebar,high,visible bridge surface,1,true,11,2560,1440,Real annotated bridge image converted from COCO annotations.
REAL-BRIDGE-IMG-0012,data/bridge_image/Image_-578-_jpg.rf.V1qfxNTln4phYdrK4nmU.jpg,BR-REAL-IMAGE,bridge,bridge_surface,spalling,spalling,high,visible bridge surface,1,true,12,448,448,Real annotated bridge image converted from COCO annotations.
