window_id,condition,temperature_f,precipitation_probability,wind_mph,weather_risk_score,rationale
WIN-001,clear,62,5,4,1,Weather suitable for concrete and coating work.
WIN-002,cloudy,65,15,6,1,Weather suitable for concrete and coating work.
WIN-003,light rain,68,35,8,3,"Weather may affect curing, coating adhesion, or worker safety."
WIN-004,storm risk,71,60,10,7,"Weather may affect curing, coating adhesion, or worker safety."
WIN-005,heavy rain,74,80,12,7,"Weather may affect curing, coating adhesion, or worker safety."
WIN-006,clear,77,5,14,1,Weather suitable for concrete and coating work.
WIN-007,cloudy,80,15,16,1,Weather suitable for concrete and coating work.
WIN-008,light rain,83,35,18,3,"Weather may affect curing, coating adhesion, or worker safety."
WIN-009,storm risk,86,60,4,7,"Weather may affect curing, coating adhesion, or worker safety."
WIN-010,heavy rain,89,80,6,7,"Weather may affect curing, coating adhesion, or worker safety."
WIN-011,clear,62,5,8,1,Weather suitable for concrete and coating work.
WIN-012,cloudy,65,15,10,1,Weather suitable for concrete and coating work.
WIN-013,light rain,68,35,12,3,"Weather may affect curing, coating adhesion, or worker safety."
WIN-014,storm risk,71,60,14,7,"Weather may affect curing, coating adhesion, or worker safety."
WIN-015,heavy rain,74,80,16,7,"Weather may affect curing, coating adhesion, or worker safety."
WIN-016,clear,77,5,18,1,Weather suitable for concrete and coating work.
WIN-017,cloudy,80,15,4,1,Weather suitable for concrete and coating work.
WIN-018,light rain,83,35,6,3,"Weather may affect curing, coating adhesion, or worker safety."
WIN-019,storm risk,86,60,8,7,"Weather may affect curing, coating adhesion, or worker safety."
WIN-020,heavy rain,89,80,10,7,"Weather may affect curing, coating adhesion, or worker safety."
