annotation_id,image_id,file_path,asset_id,asset_type,component,defect_type,severity_label,x,y,width,height,area,coco_image_id,coco_annotation_id
REAL-BRIDGE-IMG-0000-ANN-001,REAL-BRIDGE-IMG-0000,data/bridge_image/104_7e3b62de-9e57-40a4-bdc9-f32224927ba1_jpg.rf.6yyVfdfGxAPBCYAqoi9b.jpg,BR-REAL-IMAGE,bridge,bridge_surface,exposed_rebar,high,644,778,1134,78,88452,0,1
REAL-BRIDGE-IMG-0001-ANN-001,REAL-BRIDGE-IMG-0001,data/bridge_image/3865.rf.0AnLmQvJuveBm1hppIUW.jpg,BR-REAL-IMAGE,bridge,bridge_surface,crack,moderate,201.5,0,39,415,16185,1,2
REAL-BRIDGE-IMG-0002-ANN-001,REAL-BRIDGE-IMG-0002,data/bridge_image/Image_-331-_jpg.rf.55Tzki8nOuffS7zzBcgY.jpg,BR-REAL-IMAGE,bridge,bridge_surface,corrosion,moderate,230.5,119,386,633,244338,2,3
REAL-BRIDGE-IMG-0003-ANN-001,REAL-BRIDGE-IMG-0003,data/bridge_image/2234.rf.0slT253lyFV406Mir13R.jpg,BR-REAL-IMAGE,bridge,bridge_surface,crack,moderate,193.5,137,17,278,4726,3,4
REAL-BRIDGE-IMG-0003-ANN-002,REAL-BRIDGE-IMG-0003,data/bridge_image/2234.rf.0slT253lyFV406Mir13R.jpg,BR-REAL-IMAGE,bridge,bridge_surface,crack,moderate,198.5,3.5,12,143,1716,3,5
REAL-BRIDGE-IMG-0004-ANN-001,REAL-BRIDGE-IMG-0004,data/bridge_image/104_1767148c-72eb-4e79-bbe7-6b930dc8693c_jpg.rf.21CZMjldo8TWvhWIBRmV.jpg,BR-REAL-IMAGE,bridge,bridge_surface,exposed_rebar,high,1168,562,888,218,193584,4,6
REAL-BRIDGE-IMG-0005-ANN-001,REAL-BRIDGE-IMG-0005,data/bridge_image/3393.rf.0QjDVOnRyPW1nMcHGDyz.jpg,BR-REAL-IMAGE,bridge,bridge_surface,crack,moderate,210.5,135.5,16,280,4480,5,7
REAL-BRIDGE-IMG-0005-ANN-002,REAL-BRIDGE-IMG-0005,data/bridge_image/3393.rf.0QjDVOnRyPW1nMcHGDyz.jpg,BR-REAL-IMAGE,bridge,bridge_surface,crack,moderate,165,62,44,78,3432,5,8
REAL-BRIDGE-IMG-0005-ANN-003,REAL-BRIDGE-IMG-0005,data/bridge_image/3393.rf.0QjDVOnRyPW1nMcHGDyz.jpg,BR-REAL-IMAGE,bridge,bridge_surface,crack,moderate,129.5,47.5,29,17,493,5,9
REAL-BRIDGE-IMG-0005-ANN-004,REAL-BRIDGE-IMG-0005,data/bridge_image/3393.rf.0QjDVOnRyPW1nMcHGDyz.jpg,BR-REAL-IMAGE,bridge,bridge_surface,crack,moderate,50,34,78,15,1170,5,10
REAL-BRIDGE-IMG-0005-ANN-005,REAL-BRIDGE-IMG-0005,data/bridge_image/3393.rf.0QjDVOnRyPW1nMcHGDyz.jpg,BR-REAL-IMAGE,bridge,bridge_surface,crack,moderate,0.5,28,7,5,35,5,11
REAL-BRIDGE-IMG-0005-ANN-006,REAL-BRIDGE-IMG-0005,data/bridge_image/3393.rf.0QjDVOnRyPW1nMcHGDyz.jpg,BR-REAL-IMAGE,bridge,bridge_surface,crack,moderate,42.5,34,7,9,63,5,12
REAL-BRIDGE-IMG-0006-ANN-001,REAL-BRIDGE-IMG-0006,data/bridge_image/104_9cdfaf98-a399-4f47-8680-bacc6b9fb2f4_jpg.rf.EAEM1ZG1PaeQBwrn44js.jpg,BR-REAL-IMAGE,bridge,bridge_surface,exposed_rebar,high,0,700,1914,418,800052,6,13
REAL-BRIDGE-IMG-0007-ANN-001,REAL-BRIDGE-IMG-0007,data/bridge_image/103_108c550f-5db7-49cb-a4b3-6e066dea33be_jpg.rf.7v3cgFrXRn15l6osc231.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,2474,298.26,86,472.41,40627.26,7,14
REAL-BRIDGE-IMG-0007-ANN-002,REAL-BRIDGE-IMG-0007,data/bridge_image/103_108c550f-5db7-49cb-a4b3-6e066dea33be_jpg.rf.7v3cgFrXRn15l6osc231.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,1918.9,190.67,175.11,464.71,81375.368,7,15
REAL-BRIDGE-IMG-0007-ANN-003,REAL-BRIDGE-IMG-0007,data/bridge_image/103_108c550f-5db7-49cb-a4b3-6e066dea33be_jpg.rf.7v3cgFrXRn15l6osc231.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,1316.33,287.6,64.34,176.4,11349.576,7,16
REAL-BRIDGE-IMG-0007-ANN-004,REAL-BRIDGE-IMG-0007,data/bridge_image/103_108c550f-5db7-49cb-a4b3-6e066dea33be_jpg.rf.7v3cgFrXRn15l6osc231.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,0.01,247.63,27.33,196.37,5366.792,7,17
REAL-BRIDGE-IMG-0007-ANN-005,REAL-BRIDGE-IMG-0007,data/bridge_image/103_108c550f-5db7-49cb-a4b3-6e066dea33be_jpg.rf.7v3cgFrXRn15l6osc231.jpg,BR-REAL-IMAGE,bridge,bridge_surface,leak,moderate,55.21,412.86,32.13,64.48,2071.742,7,18
REAL-BRIDGE-IMG-0008-ANN-001,REAL-BRIDGE-IMG-0008,data/bridge_image/Image_mine-29-_jpg.rf.zN8Dnca2zd35FKoJJz49.jpg,BR-REAL-IMAGE,bridge,bridge_surface,corrosion,moderate,138.5,1469,236,265,62540,8,19
REAL-BRIDGE-IMG-0008-ANN-002,REAL-BRIDGE-IMG-0008,data/bridge_image/Image_mine-29-_jpg.rf.zN8Dnca2zd35FKoJJz49.jpg,BR-REAL-IMAGE,bridge,bridge_surface,corrosion,moderate,533,1437,245,322,78890,8,20
REAL-BRIDGE-IMG-0008-ANN-003,REAL-BRIDGE-IMG-0008,data/bridge_image/Image_mine-29-_jpg.rf.zN8Dnca2zd35FKoJJz49.jpg,BR-REAL-IMAGE,bridge,bridge_surface,corrosion,moderate,884.5,1372,264,378,99792,8,21
REAL-BRIDGE-IMG-0008-ANN-004,REAL-BRIDGE-IMG-0008,data/bridge_image/Image_mine-29-_jpg.rf.zN8Dnca2zd35FKoJJz49.jpg,BR-REAL-IMAGE,bridge,bridge_surface,corrosion,moderate,1246,1301,2713,917,2487821,8,22
REAL-BRIDGE-IMG-0008-ANN-005,REAL-BRIDGE-IMG-0008,data/bridge_image/Image_mine-29-_jpg.rf.zN8Dnca2zd35FKoJJz49.jpg,BR-REAL-IMAGE,bridge,bridge_surface,corrosion,moderate,1775,2218,2257,254,573278,8,23
REAL-BRIDGE-IMG-0009-ANN-001,REAL-BRIDGE-IMG-0009,data/bridge_image/Image_-616-_jpg.rf.WiBkQI446sqW2trO5UdX.jpg,BR-REAL-IMAGE,bridge,bridge_surface,spalling,high,270,383,251,102,25602,9,24
REAL-BRIDGE-IMG-0009-ANN-002,REAL-BRIDGE-IMG-0009,data/bridge_image/Image_-616-_jpg.rf.WiBkQI446sqW2trO5UdX.jpg,BR-REAL-IMAGE,bridge,bridge_surface,spalling,high,647,355.5,893,314,280402,9,25
