image_id,file_path,asset_id,asset_type,component,defect_type,severity_label,location_on_asset,confidence_label,inspection_date,notes
IMG-0001,bridge_media/images/files/IMG-0001.jpg,BR-001,bridge,deck,spalling,low,deck zone 1,0.72,2025-08-01,Synthetic metadata placeholder. Image file supplied separately by user.
IMG-0002,bridge_media/images/files/IMG-0002.jpg,BR-002,bridge,expansion_joint,crack,medium,expansion_joint zone 2,0.73,2025-08-02,Synthetic metadata placeholder. Image file supplied separately by user.
IMG-0003,bridge_media/images/files/IMG-0003.jpg,BR-003,bridge,girder,corrosion,high,girder zone 3,0.74,2025-08-03,Synthetic metadata placeholder. Image file supplied separately by user.
IMG-0004,bridge_media/images/files/IMG-0004.jpg,BR-004,bridge,parapet,exposed_rebar,low,parapet zone 4,0.76,2025-08-04,Synthetic metadata placeholder. Image file supplied separately by user.
IMG-0005,bridge_media/images/files/IMG-0005.jpg,BR-005,bridge,pier_cap,joint_damage,medium,pier_cap zone 5,0.77,2025-08-05,Synthetic metadata placeholder. Image file supplied separately by user.
IMG-0006,bridge_media/images/files/IMG-0006.jpg,BR-006,bridge,bearing_area,water_leak,high,bearing_area zone 1,0.78,2025-08-06,Synthetic metadata placeholder. Image file supplied separately by user.
IMG-0007,bridge_media/images/files/IMG-0007.jpg,BR-007,bridge,deck,normal/no_defect,none,deck zone 2,0.79,2025-08-07,No visible defect in supplied inspection image.
IMG-0008,bridge_media/images/files/IMG-0008.jpg,BR-008,bridge,expansion_joint,spalling,medium,expansion_joint zone 3,0.8,2025-08-08,Synthetic metadata placeholder. Image file supplied separately by user.
IMG-0009,bridge_media/images/files/IMG-0009.jpg,BR-009,bridge,girder,crack,high,girder zone 4,0.82,2025-08-09,Synthetic metadata placeholder. Image file supplied separately by user.
IMG-0010,bridge_media/images/files/IMG-0010.jpg,BR-010,bridge,parapet,corrosion,low,parapet zone 5,0.83,2025-08-10,Synthetic metadata placeholder. Image file supplied separately by user.
IMG-0011,bridge_media/images/files/IMG-0011.jpg,BR-011,bridge,pier_cap,exposed_rebar,medium,pier_cap zone 1,0.84,2025-08-11,Synthetic metadata placeholder. Image file supplied separately by user.
IMG-0012,bridge_media/images/files/IMG-0012.jpg,BR-012,bridge,bearing_area,joint_damage,high,bearing_area zone 2,0.85,2025-08-12,Synthetic metadata placeholder. Image file supplied separately by user.
IMG-0013,bridge_media/images/files/IMG-0013.jpg,BR-001,bridge,deck,water_leak,low,deck zone 3,0.86,2025-08-13,Synthetic metadata placeholder. Image file supplied separately by user.
IMG-0014,bridge_media/images/files/IMG-0014.jpg,BR-002,bridge,expansion_joint,normal/no_defect,none,expansion_joint zone 4,0.88,2025-08-14,No visible defect in supplied inspection image.
